"Table 3. Current-Dollar Gross Domestic Product (GDP) by State and Region, 2019:Q1–2020:Q3",,,,,,,,,,,,,,
,Millions of dollars,,,,,,,Percent of the U.S.,,,,,,
North Carolina ,"581,020","588,477","595,118","601,788","600,631","546,776","594,126",2.8,2.8,2.8,2.8,2.8,2.8,2.8
South Carolina ,"244,305","245,095","249,111","251,665","247,817","224,689","245,473",1.2,1.1,1.2,1.2,1.1,1.2,1.2
Tennessee ,"370,936","375,387","379,183","380,823","379,454","333,194","369,063",1.8,1.8,1.8,1.8,1.8,1.7,1.7
Virginia ,"548,014","552,270","560,808","566,529","562,718","519,912","557,986",2.6,2.6,2.6,2.6,2.6,2.7,2.6
West Virginia ,"78,711","79,185","79,078","78,480","76,366","68,001","74,511",0.4,0.4,0.4,0.4,0.4,0.3,0.4
Southwest ,"2,493,924","2,509,437","2,531,924","2,549,119","2,495,938","2,244,754","2,438,088",11.8,11.8,11.8,11.7,11.6,11.5,11.5
Arizona ,"361,380","366,905","373,173","379,019","377,476","350,141","378,297",1.7,1.7,1.7,1.7,1.8,1.8,1.8
New Mexico,"102,972","104,682","106,005","106,914","104,462","93,367","100,777",0.5,0.5,0.5,0.5,0.5,0.5,0.5
Oklahoma,"202,147","202,274","202,119","201,604","195,606","173,061","186,883",1,0.9,0.9,0.9,0.9,0.9,0.9
Texas,"1,827,426","1,835,576","1,850,626","1,861,582","1,818,394","1,628,185","1,772,132",8.7,8.6,8.6,8.6,8.4,8.3,8.4
Rocky Mountain ,"747,065","755,943","769,001","778,093","773,436","706,242","766,386",3.5,3.5,3.6,3.6,3.6,3.6,3.6
Colorado ,"384,027","390,214","396,840","400,863","400,041","365,009","394,271",1.8,1.8,1.8,1.8,1.9,1.9,1.9
Idaho ,"81,657","82,880","84,333","85,791","85,835","77,384","85,552",0.4,0.4,0.4,0.4,0.4,0.4,0.4
Montana ,"51,911","52,442","53,351","54,035","53,285","47,721","51,934",0.2,0.2,0.2,0.2,0.2,0.2,0.2
Utah ,"189,356","190,105","193,976","196,639","195,594","182,895","198,630",0.9,0.9,0.9,0.9,0.9,0.9,0.9
Wyoming ,"40,114","40,301","40,501","40,764","38,680","33,233","36,000",0.2,0.2,0.2,0.2,0.2,0.2,0.2
Far West,"4,236,590","4,305,051","4,347,376","4,421,982","4,400,773","3,992,043","4,322,036",20.1,20.2,20.2,20.3,20.4,20.5,20.4
Alaska ,"54,138","54,280","54,450","54,675","52,864","45,644","50,413",0.3,0.3,0.3,0.3,0.2,0.2,0.2
California ,"3,063,191","3,119,174","3,143,837","3,205,000","3,189,703","2,893,054","3,120,386",14.5,14.6,14.6,14.7,14.8,14.8,14.7
Hawaii ,"94,840","95,111","96,025","97,001","95,364","83,429","89,866",0.4,0.4,0.4,0.4,0.4,0.4,0.4
Nevada,"174,547","176,844","179,656","181,752","180,034","156,421","175,509",0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oregon ,"249,544","251,472","254,785","258,693","257,688","233,799","253,849",1.2,1.2,1.2,1.2,1.2,1.2,1.2
Washington,"600,331","608,171","618,623","624,861","625,121","579,695","632,013",2.8,2.9,2.9,2.9,2.9,3,3
